keywords,sentiment_coeff,TFIDF
upon,-1.050357978886146,0.0
mental,-1.195419212511078,0.0
results,-1.3343883078553112,0.0
sensitive,-1.1219827435119756,0.0
instrument,-1.578881790836819,0.0
crack,1.43726921830127,0.0
high,-1.069112540311819,0.0
power,-1.196411227013372,0.0
strong,1.0624447173933271,0.0
nature,-1.250318429419638,0.0
yet,1.3593795431019653,0.0
late,1.1578766263172098,0.0
memory,1.2483502817676322,0.0
little,1.2734638243644207,0.0
lately,1.480849482622059,0.0
marriage,1.0660420749430128,0.0
us,1.1409999848474028,0.0
away,1.2839581674168314,0.0
complete,-1.160258262225595,0.0
happiness,1.1193548586562807,0.0
home,1.204660535895628,0.0
interests,-1.210994371002741,0.0
rise,-1.0712319581438972,0.0
around,1.1090854930894012,0.0
finds,1.3278935183883902,0.0
master,1.3136162042684183,0.0
establishment,-1.4428104791256855,0.0
sufficient,-1.2434459652841383,0.0
attention,1.094499376914566,0.0
every,-1.0928289849326995,0.0
form,-1.3188101446821612,0.0
society,1.1175119760875345,0.0
soul,1.2189085723948607,0.0
remained,1.285052085408947,0.0
baker,1.0401113847595562,0.0
street,1.0918536806790946,0.0
buried,1.2297070356854187,0.0
among,-1.0942655747470411,0.0
old,1.1519982337467642,0.0
books,1.0788947132432536,0.0
week,-1.033328134946544,0.0
drug,-1.3571880427065577,0.0
energy,-1.2375399776036564,0.0
keen,1.3649306823511789,0.0
still,1.4697975610880245,0.0
ever,1.1945961353997412,0.0
deeply,-1.0258219599433542,0.0
attracted,1.1177378181301871,0.0
study,1.1581675377739258,0.0
crime,-1.104358366937605,0.0
occupied,1.055881498627295,0.0
immense,-1.0941266282667093,0.0
extraordinary,1.0887499055249108,0.0
powers,-1.222271169898675,0.0
observation,-1.215051802851259,0.0
following,-1.1068101728123692,0.0
clearing,-1.2312372150323188,0.0
abandoned,1.108057720436105,0.0
official,-1.0891322513597117,0.0
police,1.1744121068592102,0.0
time,1.2116285250562664,0.0
vague,1.1653749906447652,0.0
account,-1.2363678376360157,0.0
murder,1.2425806724462736,0.0
singular,-1.0716477390768555,0.0
brothers,1.2684240901747186,0.0
finally,-1.1963144720264436,0.0
mission,-1.161319302172113,0.0
accomplished,-1.2026805843877284,0.0
successfully,-1.3317964663697042,0.0
family,1.1178216964947487,0.0
beyond,-1.1055949142794657,0.0
signs,-1.2049997112364328,0.0
activity,-1.157754271013269,0.0
however,-1.214072258998641,0.0
merely,-1.1795022404602291,0.0
shared,1.2128299011750874,0.0
daily,-1.152576957632146,0.0
press,-1.1038150880678606,0.0
knew,1.483730722138775,0.0
former,-1.1287305053853325,0.0
friend,1.2515534507368828,0.0
companion,1.3430017806765011,0.0
night,1.211291543915024,0.0
returning,1.2772680005645378,0.0
journey,1.1825136755263157,0.0
patient,-1.1188052141912863,0.0
returned,1.3120023766979756,0.0
civil,-1.141060788951616,0.0
practice,-1.2203281773581398,0.0
way,1.2241488831473897,0.0
led,1.1127335113093282,0.0
passed,1.1230199455724896,0.0
well,1.2051817598811148,0.0
remembered,1.3816819447595772,0.0
door,1.2229934206252306,0.0
must,1.0793673515600992,0.0
associated,-1.2077341828733428,0.0
dark,1.1538063344892413,0.0
scarlet,1.06127091463358,0.0
seized,1.2530941988289304,0.0
desire,1.079487923259896,0.0
see,1.2383253027420384,0.0
know,1.3277709510650442,0.0
rooms,1.1864078529400133,0.0
lit,1.2356567685141893,0.0
even,1.1717119350539549,0.0
looked,1.4379103486254274,0.0
saw,1.5314677427996561,0.0
tall,1.2048870134248697,0.0
spare,1.5608602060584302,0.0
figure,1.2041056034893682,0.0
pass,1.1065785874393863,0.0
twice,1.2739219896165166,0.0
blind,1.5645078113964843,0.0
pacing,1.5380152513223917,0.0
room,1.2590973317717875,0.0
swiftly,1.2439552428857674,0.0
eagerly,1.4898109492936928,0.0
head,1.146065012488081,0.0
sunk,1.232059010284673,0.0
chest,1.0919547979694029,0.0
hands,1.1911560013285936,0.0
behind,1.2770222758335683,0.0
mood,1.3497095210692005,0.0
habit,1.384810690509472,0.0
attitude,-1.053632323647567,0.0
manner,1.1113929619666072,0.0
told,1.3893214040940878,0.0
story,1.2556949858842228,0.0
work,-1.0868966462734466,0.0
risen,1.2883296189004432,0.0
created,-1.2243142666908875,0.0
hot,1.0768270817797445,0.0
new,-1.07198951489852,0.0
problem,-1.0283758296536762,0.0
rang,1.3663669843843098,0.0
bell,1.0291432141466441,0.0
shown,-1.0959200379802487,0.0
chamber,1.2331242098248767,0.0
formerly,-1.10954069363513,0.0
part,-1.127789218553891,0.0
glad,1.4298918857927332,0.0
think,1.2783995029660142,0.0
hardly,1.3331309269978775,0.0
word,1.3429141463736134,0.0
spoken,1.1621463017251288,0.0
kindly,1.3771306374971988,0.0
eye,1.1738729162651054,0.0
waved,1.316151159870075,0.0
armchair,1.3374991358486417,0.0
threw,1.2664138168357677,0.0
across,1.10709230759582,0.0
indicated,-1.154646991772911,0.0
spirit,-1.2255902198801916,0.0
corner,1.2947614454324141,0.0
stood,1.3241773021869163,0.0
fire,1.3768959233397553,0.0
fashion,1.1826203337834584,0.0
remarked,1.2512101383678604,0.0
watson,1.0316909866237007,0.0
put,1.2852089726159992,0.0
seven,1.0304600101384946,0.0
half,1.1053438144621728,0.0
pounds,-1.0652548389101142,0.0
answered,1.4321185836345782,0.0
indeed,1.1027145685888695,0.0
